split,segment_time
White Knuckle Nightmare (1/3),43.175
White Knuckle Nightmare (2/3),163.795
White Knuckle Nightmare (3/3),105.578
Wrecking Ball Showdown (1/3),51.786
Wrecking Ball Showdown (2/3),64.783
Wrecking Ball Showdown (3/3),74.557
Technical Summit (1/3),108.654
Technical Summit (2/3),77.792
Technical Summit (3/3),79.358
300 HP Grand Prix (1/3),74.779
300 HP Grand Prix (2/3),230.794
300 HP Grand Prix (3/3),155.190
